Code,Name,Slug,Image name,Parent Category Code (optional),Description
001,Antibiotics,,,,Antibiotics
002,Pain killers,,,,Pain killers
003,Gastric,,,,Gastric
004,Vitamins,,,,Vitamins
005,Anti Histamine & Anti allergic ,,,,Anti Histamine & Anti allergic 
006,Hormone & contraception ,,,,Hormone & contraception 
007,Colo-Intestinal,,,,Colo-Intestinal
008,Pediatric,,,,Pediatric
009,Anti hypertenser,,,,Anti hypertenser
010,Anti diabetic,,,,Anti diabetic
011,Anti dyslipidemia,,,,Anti dyslipidemia
012,Anti hemorrhoid,,,,Anti hemorrhoid
013,Hepato-Renal,,,,Hepato-Renal
014,Injection,,,,Injection
015,Osteo-articulaire,,,,Osteo-articulaire
016,Cream,,,,Cream
017,ORL,,,,ORL
018,Patch & oil,,,,Patch & oil
019,Salin & Antiseptic,,,,Salin & Antiseptic
